x	m	c2	u	Y	r	q	T	P	rho	X	L_r	kappa	eps	Gamma1	nabla_ad	delta	c_p	mu_e_inv	conv_stab	r_X	Z	R_min_r	eps_g	L_g	X_He3	X_C12	X_C13	X_N14	X_O16
1.000385655891778747e+00	1.989000000396663329e+33	5.346180272877037964e+11	3.236656736126399536e+11	2.738520852000000394e-01	6.962582982000000000e+10	8.661069134000000552e-11	4.876110262999999577e+03	9.951774923000000854e+03	3.074708173999999790e-08	7.432957476999999535e-01	3.844994583999999777e+33	5.505987786000000189e-02	0.000000000000000000e+00	1.651760043999999983e+00	3.934112064999999991e-01	1.004063488999999976e+00	1.694506231999999881e+08	8.917628584000000247e-01	2.282537409999999909e+03	0.000000000000000000e+00	1.714783289999999988e-02	-2.684125966000000015e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007403015000000034e-03	8.837478641999999343e-03
1.000376713664127504e+00	1.989000000393908711e+33	5.347127492566129150e+11	3.237912562666119995e+11	2.738520852000000394e-01	6.962520745000000000e+10	8.600926885999999812e-11	4.878103366000000278e+03	1.049000261999999930e+04	3.239742401000000317e-08	7.432957476999999535e-01	3.844994583999999777e+33	5.763214742000000168e-02	0.000000000000000000e+00	1.651411948000000018e+00	3.932448598000000128e-01	1.004178854999999926e+00	1.695381726999999881e+08	8.917628584000000247e-01	2.276516654999999901e+03	0.000000000000000000e+00	1.714783289999999988e-02	-2.621888321999999881e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007403015000000034e-03	8.837478641999999343e-03
1.000367710659730847e+00	1.989000000390986344e+33	5.348273916664945068e+11	3.239311686042697144e+11	2.738520852000000394e-01	6.962458085000000000e+10	8.537117596000000638e-11	4.880314249000000018e+03	1.106105025999999998e+04	3.414629813999999694e-08	7.432957476999999535e-01	3.844994583999999777e+33	6.034183486999999957e-02	0.000000000000000000e+00	1.651052579999999992e+00	3.930723603999999871e-01	1.004301533000000024e+00	1.696296406999999881e+08	8.917628584000000247e-01	2.269905493000000206e+03	0.000000000000000000e+00	1.714783289999999988e-02	-2.559228530999999866e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007403015000000034e-03	8.837478641999999343e-03
1.000358651476356942e+00	1.989000000387887002e+33	5.349604162039986572e+11	3.240869989110820312e+11	2.738520852000000394e-01	6.962395034000000000e+10	8.469436059000000411e-11	4.882766365999999834e+03	1.166675438000000031e+04	3.599883493999999829e-08	7.432957476999999535e-01	3.844994583999999777e+33	6.319523553000000460e-02	0.000000000000000000e+00	1.650669165999999910e+00	3.928887878999999805e-01	1.004432505000000031e+00	1.697273260000000000e+08	8.917628584000000247e-01	2.262618856000000051e+03	0.000000000000000000e+00	1.714783289999999988e-02	-2.496178171999999881e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007403015000000034e-03	8.837478641999999343e-03
1.000349540424413375e+00	1.989000000384599735e+33	5.351142307586962891e+11	3.242604682303630981e+11	2.738520852000000394e-01	6.962331622000000000e+10	8.397664907999999893e-11	4.885485614999999598e+03	1.230906034999999974e+04	3.796041008999999898e-08	7.432957476999999535e-01	3.844994583999999777e+33	6.619902206000000122e-02	0.000000000000000000e+00	1.650260464000000038e+00	3.926936945000000234e-01	1.004571786000000078e+00	1.698314435000000000e+08	8.917628584000000247e-01	2.254590854999999920e+03	0.000000000000000000e+00	1.714783289999999988e-02	-2.432765678000000119e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007403015000000034e-03	8.837478641999999343e-03
1.000340380952225772e+00	1.989000000381115030e+33	5.352914750256359863e+11	3.244534768870324097e+11	2.738520852000000394e-01	6.962267873000000000e+10	8.321574041000000092e-11	4.888500578000000132e+03	1.299002757000000020e+04	4.003664160000000134e-08	7.432957476999999535e-01	3.844994583999999777e+33	6.936043441000000476e-02	0.000000000000000000e+00	1.649825053999999902e+00	3.924865920999999758e-01	1.004719334000000019e+00	1.699422168000000119e+08	8.917628584000000247e-01	2.245749440999999933e+03	0.000000000000000000e+00	1.714783289999999988e-02	-2.369016589000000060e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007403015000000034e-03	8.837478641999999343e-03
1.000331176364440022e+00	1.989000000377421358e+33	5.354952708955636597e+11	3.246681218427856445e+11	2.738520852000000394e-01	6.962203810000000000e+10	8.240920126000000513e-11	4.891842779999999948e+03	1.371183380000000034e+04	4.223338503999999805e-08	7.432957476999999535e-01	3.844994583999999777e+33	7.268732085000000065e-02	0.000000000000000000e+00	1.649362025000000065e+00	3.922672100999999856e-01	1.004874998000000019e+00	1.700597609000000060e+08	8.917628584000000247e-01	2.236017432000000099e+03	0.000000000000000000e+00	1.714783289999999988e-02	-2.304953855000000075e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007403015000000034e-03	8.837478641999999343e-03
1.000321929678341215e+00	1.989000000373506613e+33	5.357380447582360840e+11	3.249067066402528076e+11	2.738520852000000394e-01	6.962139454000000000e+10	8.155446046000000623e-11	4.895546959000000243e+03	1.447678025999999954e+04	4.455672956000000037e-08	7.432957476999999535e-01	3.844994583999999777e+33	7.618805816000000231e-02	0.000000000000000000e+00	1.648898079999999933e+00	3.920457952999999995e-01	1.005036301000000076e+00	1.701792370000000000e+08	8.917628584000000247e-01	2.225368167999999969e+03	0.000000000000000000e+00	1.714783289999999988e-02	-2.240598062999999896e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007403015000000034e-03	8.837478641999999343e-03
1.000312643623854303e+00	1.989000000369358977e+33	5.360184382375419922e+11	3.251717832614093018e+11	2.738520852000000394e-01	6.962074824000000000e+10	8.064880250000000410e-11	4.899651367999999820e+03	1.528729731999999967e+04	4.701298854000000281e-08	7.432957476999999535e-01	3.844994583999999777e+33	7.987158921999999717e-02	0.000000000000000000e+00	1.648416209000000077e+00	3.918160025999999907e-01	1.005204245000000052e+00	1.703035811999999881e+08	8.917628584000000247e-01	2.213678042999999889e+03	0.000000000000000000e+00	1.714783289999999988e-02	-2.175967578000000119e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007403015000000034e-03	8.837478641999999343e-03
1.000303320356183079e+00	1.989000000364964617e+33	5.363411574099464722e+11	3.254661564194439087e+11	2.738520852000000394e-01	6.962009935000000000e+10	7.968936111000000075e-11	4.904198086999999759e+03	1.614595031999999992e+04	4.960869202999999999e-08	7.432957476999999535e-01	3.844994583999999777e+33	8.374747563999999922e-02	0.000000000000000000e+00	1.647916831999999943e+00	3.915781512000000020e-01	1.005378317999999993e+00	1.704325913000000119e+08	8.917628584000000247e-01	2.200852460000000065e+03	0.000000000000000000e+00	1.714783289999999988e-02	-2.111078682999999821e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007403015000000034e-03	8.837478641999999343e-03
