x	m	c2	u	Y	r	q	T	P	rho	X	L_r	kappa	eps	Gamma1	nabla_ad	delta	c_p	mu_e_inv	conv_stab	r_X	Z	R_min_r	eps_g	L_g	X_He3	X_C12	X_C13	X_N14	X_O16
1.000385666774900262e+00	1.989000000396644306e+33	5.346427270465605469e+11	3.236801320197493286e+11	2.738494174000000170e-01	6.962586312000000000e+10	8.660655489000000392e-11	4.876314895999999862e+03	9.951675130999999965e+03	3.074539999999999683e-08	7.432984784999999706e-01	3.845643661999999734e+33	5.506037851000000066e-02	0.000000000000000000e+00	1.651762570999999902e+00	3.934125425000000176e-01	1.004062183000000053e+00	1.694502853000000119e+08	8.917642988999999742e-01	2.282439291000000139e+03	0.000000000000000000e+00	1.714789590000000141e-02	-2.684202542999999970e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007417737999999750e-03	8.837511109999999712e-03
1.000376723976707849e+00	1.989000000393890265e+33	5.347375478579311523e+11	3.238057215002312012e+11	2.738494174000000170e-01	6.962524071000000000e+10	8.600513755000000142e-11	4.878308081999999558e+03	1.048989722000000074e+04	3.239565122999999690e-08	7.432984784999999706e-01	3.845643661999999734e+33	5.763271707999999965e-02	0.000000000000000000e+00	1.651414759999999982e+00	3.932463279999999783e-01	1.004177459000000106e+00	1.695377626999999881e+08	8.917642988999999742e-01	2.276419346000000132e+03	0.000000000000000000e+00	1.714789590000000141e-02	-2.621962083999999985e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007417737999999750e-03	8.837511109999999712e-03
1.000367720689158801e+00	1.989000000390967897e+33	5.348523022304686279e+11	3.239456411865959473e+11	2.738494174000000170e-01	6.962461409000000000e+10	8.536705063999999407e-11	4.880519057999999859e+03	1.106093843999999990e+04	3.414442743999999783e-08	7.432984784999999706e-01	3.845643661999999734e+33	6.034248151999999782e-02	0.000000000000000000e+00	1.651055715000000035e+00	3.930739762000000082e-01	1.004300041999999893e+00	1.696291509000000060e+08	8.917642988999999742e-01	2.269809095000000070e+03	0.000000000000000000e+00	1.714789590000000141e-02	-2.559299507999999821e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007417737999999750e-03	8.837511109999999712e-03
1.000358661222658929e+00	1.989000000387867979e+33	5.349854463160919800e+11	3.241014802256554565e+11	2.738494174000000170e-01	6.962398356000000000e+10	8.469024219999999806e-11	4.882971277999999984e+03	1.166663523999999961e+04	3.599685885999999835e-08	7.432984784999999706e-01	3.845643661999999734e+33	6.319596735000000687e-02	0.000000000000000000e+00	1.650672641000000107e+00	3.928905572999999984e-01	1.004430917999999950e+00	1.697267543000000119e+08	8.917642988999999742e-01	2.262523423999999977e+03	0.000000000000000000e+00	1.714789590000000141e-02	-2.496246394000000134e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007417737999999750e-03	8.837511109999999712e-03
1.000349549600252796e+00	1.989000000384581288e+33	5.351393828641163940e+11	3.242749592905001221e+11	2.738494174000000170e-01	6.962334940000000000e+10	8.397253866000000492e-11	4.885690641000000142e+03	1.230893289000000004e+04	3.795832067000000162e-08	7.432984784999999706e-01	3.845643661999999734e+33	6.619984741999999922e-02	0.000000000000000000e+00	1.650264281999999971e+00	3.926956193999999734e-01	1.004570103000000048e+00	1.698307885000000000e+08	8.917642988999999742e-01	2.254496420999999827e+03	0.000000000000000000e+00	1.714789590000000141e-02	-2.432831176999999955e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007417737999999750e-03	8.837511109999999712e-03
1.000340389844985856e+00	1.989000000381096295e+33	5.353167512983231812e+11	3.244679783418984375e+11	2.738494174000000170e-01	6.962271189000000000e+10	8.321163909999999569e-11	4.888705731000000014e+03	1.298989067000000068e+04	4.003443031999999922e-08	7.432984784999999706e-01	3.845643661999999734e+33	6.936136102999999886e-02	0.000000000000000000e+00	1.649829218999999902e+00	3.924886737000000125e-01	1.004717550999999931e+00	1.699414775000000000e+08	8.917642988999999742e-01	2.245656038000000081e+03	0.000000000000000000e+00	1.714789590000000141e-02	-2.369079396000000089e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007417737999999750e-03	8.837511109999999712e-03
1.000331184830461906e+00	1.989000000377402623e+33	5.355206653272908936e+11	3.246826352758964844e+11	2.738494174000000170e-01	6.962207123000000000e+10	8.240511035000000590e-11	4.892048072999999931e+03	1.371168627000000015e+04	4.223104281000000134e-08	7.432984784999999706e-01	3.845643661999999734e+33	7.268835635999999767e-02	0.000000000000000000e+00	1.649366510999999980e+00	3.922694393999999751e-01	1.004873117000000038e+00	1.700589410999999940e+08	8.917642988999999742e-01	2.235925037999999859e+03	0.000000000000000000e+00	1.714789590000000141e-02	-2.305014000000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007417737999999750e-03	8.837511109999999712e-03
1.000321937861324617e+00	1.989000000373487878e+33	5.357635673617569580e+11	3.249212328620326538e+11	2.738494174000000170e-01	6.962142765000000000e+10	8.155038130000000248e-11	4.895752406999999948e+03	1.447662077999999929e+04	4.455424674000000003e-08	7.432984784999999706e-01	3.845643661999999734e+33	7.618921013000000408e-02	0.000000000000000000e+00	1.648902912999999915e+00	3.920481827000000252e-01	1.005034317000000010e+00	1.701783314000000060e+08	8.917642988999999742e-01	2.225276871000000028e+03	0.000000000000000000e+00	1.714789590000000141e-02	-2.240655575000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007417737999999750e-03	8.837511109999999712e-03
1.000312651380137474e+00	1.989000000369340531e+33	5.360440910812409058e+11	3.251863235082306519e+11	2.738494174000000170e-01	6.962078132000000000e+10	8.064473658999999991e-11	4.899856988999999885e+03	1.528712448000000040e+04	4.701035491000000254e-08	7.432984784999999706e-01	3.845643661999999734e+33	7.987286501000000205e-02	0.000000000000000000e+00	1.648421388999999904e+00	3.918185483000000136e-01	1.005202157000000041e+00	1.703025893000000119e+08	8.917642988999999742e-01	2.213587880000000041e+03	0.000000000000000000e+00	1.714789590000000141e-02	-2.176022483999999985e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007417737999999750e-03	8.837511109999999712e-03
1.000303327685783117e+00	1.989000000364946170e+33	5.363669421886670532e+11	3.254807122652246094e+11	2.738494174000000170e-01	6.962013240000000000e+10	7.968531002999999770e-11	4.904403898999999910e+03	1.614576260999999977e+04	4.960589676000000180e-08	7.432984784999999706e-01	3.845643661999999734e+33	8.374888229000000683e-02	0.000000000000000000e+00	1.647922356000000033e+00	3.915808543000000030e-01	1.005376126000000037e+00	1.704315130000000000e+08	8.917642988999999742e-01	2.200763468999999986e+03	0.000000000000000000e+00	1.714789590000000141e-02	-2.111131007000000030e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007417737999999750e-03	8.837511109999999712e-03
