x	m	c2	u	Y	r	q	T	P	rho	X	L_r	kappa	eps	Gamma1	nabla_ad	delta	c_p	mu_e_inv	conv_stab	r_X	Z	R_min_r	eps_g	L_g	X_He3	X_C12	X_C13	X_N14	X_O16
1.000385666220243719e+00	1.989000000396644018e+33	5.346425694957559204e+11	3.236800250746416016e+11	2.738507808000000265e-01	6.962583352000000000e+10	8.660645141000000493e-11	4.876319558000000143e+03	9.951688807000000452e+03	3.074545240999999849e-08	7.432970828999999613e-01	3.845655102999999935e+33	5.506034960000000256e-02	0.000000000000000000e+00	1.651762629999999898e+00	3.934125734000000207e-01	1.004062153000000013e+00	1.694500494000000060e+08	8.917635627000000120e-01	2.282441130000000157e+03	0.000000000000000000e+00	1.714786370000000171e-02	-2.684198371999999881e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007410212999999895e-03	8.837494515000000536e-03
1.000376723561934522e+00	1.989000000393889400e+33	5.347373926431715088e+11	3.238056145701404419e+11	2.738507808000000265e-01	6.962521112000000000e+10	8.600503426999999608e-11	4.878312745999999606e+03	1.048991163000000051e+04	3.239570643000000126e-08	7.432970828999999613e-01	3.845655102999999935e+33	5.763268795999999805e-02	0.000000000000000000e+00	1.651414825999999891e+00	3.932463621999999770e-01	1.004177426999999900e+00	1.695375250000000000e+08	8.917635627000000120e-01	2.276421194000000014e+03	0.000000000000000000e+00	1.714786370000000171e-02	-2.621957987999999896e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007410212999999895e-03	8.837494515000000536e-03
1.000367720126882798e+00	1.989000000390967321e+33	5.348521494930543213e+11	3.239455343546842651e+11	2.738507808000000265e-01	6.962458449000000000e+10	8.536694759000000082e-11	4.880523725000000013e+03	1.106095362000000023e+04	3.414448556000000114e-08	7.432970828999999613e-01	3.845655102999999935e+33	6.034245224999999768e-02	0.000000000000000000e+00	1.651055788000000080e+00	3.930740137000000023e-01	1.004300007999999966e+00	1.696289114000000060e+08	8.917635627000000120e-01	2.269810950999999932e+03	0.000000000000000000e+00	1.714786370000000171e-02	-2.559295487000000104e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007410212999999895e-03	8.837494515000000536e-03
1.000358660656536225e+00	1.989000000387867403e+33	5.349852956176835938e+11	3.241013732229016113e+11	2.738507808000000265e-01	6.962395396000000000e+10	8.469013940000000334e-11	4.882975946999999906e+03	1.166665121999999974e+04	3.599692004999999982e-08	7.432970828999999613e-01	3.845655102999999935e+33	6.319593801999999483e-02	0.000000000000000000e+00	1.650672721000000065e+00	3.928905980999999881e-01	1.004430882000000080e+00	1.697265128000000119e+08	8.917635627000000120e-01	2.262525289000000157e+03	0.000000000000000000e+00	1.714786370000000171e-02	-2.496242450000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007410212999999895e-03	8.837494515000000536e-03
1.000349549173942032e+00	1.989000000384580712e+33	5.351392350274615479e+11	3.242748524149870605e+11	2.738507808000000265e-01	6.962331981000000000e+10	8.397243614000000132e-11	4.885695311999999831e+03	1.230894971000000078e+04	3.795838504999999932e-08	7.432970828999999613e-01	3.845655102999999935e+33	6.619981812000000354e-02	0.000000000000000000e+00	1.650264369999999925e+00	3.926956634000000057e-01	1.004570065000000012e+00	1.698305450999999940e+08	8.917635627000000120e-01	2.254498293000000103e+03	0.000000000000000000e+00	1.714786370000000171e-02	-2.432827312000000104e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007410212999999895e-03	8.837494515000000536e-03
1.000340389271105801e+00	1.989000000381095718e+33	5.353166057544212646e+11	3.244678714409248657e+11	2.738507808000000265e-01	6.962268229000000000e+10	8.321153689999999485e-11	4.888710404999999810e+03	1.298990835999999945e+04	4.003449803000000078e-08	7.432970828999999613e-01	3.845655102999999935e+33	6.936133181999999675e-02	0.000000000000000000e+00	1.649829313999999991e+00	3.924887210999999931e-01	1.004717510999999952e+00	1.699412321999999881e+08	8.917635627000000120e-01	2.245657914999999775e+03	0.000000000000000000e+00	1.714786370000000171e-02	-2.369075610999999940e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007410212999999895e-03	8.837494515000000536e-03
1.000331184396353601e+00	1.989000000377401758e+33	5.355205224659526978e+11	3.246825283841671753e+11	2.738507808000000265e-01	6.962204164000000000e+10	8.240500850000000042e-11	4.892052749999999833e+03	1.371170486999999957e+04	4.223111399999999938e-08	7.432970828999999613e-01	3.845655102999999935e+33	7.268832730999999492e-02	0.000000000000000000e+00	1.649366614000000064e+00	3.922694903000000233e-01	1.004873074999999893e+00	1.700586938000000119e+08	8.917635627000000120e-01	2.235926922999999988e+03	0.000000000000000000e+00	1.714786370000000171e-02	-2.305010298000000045e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007410212999999895e-03	8.837494515000000536e-03
1.000321937423290342e+00	1.989000000373487589e+33	5.357634267983921509e+11	3.249211259396133423e+11	2.738507808000000265e-01	6.962139806000000000e+10	8.155027984999999723e-11	4.895757088000000294e+03	1.447664033000000018e+04	4.455432156999999857e-08	7.432970828999999613e-01	3.845655102999999935e+33	7.618918131999999344e-02	0.000000000000000000e+00	1.648903022999999912e+00	3.920482370999999744e-01	1.005034272999999923e+00	1.701780819000000060e+08	8.917635627000000120e-01	2.225278761000000031e+03	0.000000000000000000e+00	1.714786370000000171e-02	-2.240651955999999866e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007410212999999895e-03	8.837494515000000536e-03
1.000312650938160353e+00	1.989000000369339954e+33	5.360439529746273804e+11	3.251862164490841064e+11	2.738507808000000265e-01	6.962075173000000000e+10	8.064463557000000041e-11	4.899861673000000337e+03	1.528714501000000018e+04	4.701043352000000262e-08	7.432970828999999613e-01	3.845655102999999935e+33	7.987283648000000069e-02	0.000000000000000000e+00	1.648421506999999897e+00	3.918186061000000220e-01	1.005202109999999927e+00	1.703023378000000119e+08	8.917635627000000120e-01	2.213589774000000034e+03	0.000000000000000000e+00	1.714786370000000171e-02	-2.176018950000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007410212999999895e-03	8.837494515000000536e-03
1.000303327239847606e+00	1.989000000364945594e+33	5.363668067437058716e+11	3.254806051876570435e+11	2.738507808000000265e-01	6.962010281000000000e+10	7.968520950000000203e-11	4.904408588000000236e+03	1.614578417000000081e+04	4.960597931999999900e-08	7.432970828999999613e-01	3.845655102999999935e+33	8.374885408000000420e-02	0.000000000000000000e+00	1.647922482000000022e+00	3.915809155000000152e-01	1.005376075999999896e+00	1.704312595000000000e+08	8.917635627000000120e-01	2.200765366000000085e+03	0.000000000000000000e+00	1.714786370000000171e-02	-2.111127557999999821e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007410212999999895e-03	8.837494515000000536e-03
