x	m	c2	u	Y	r	q	T	P	rho	X	L_r	kappa	eps	Gamma1	nabla_ad	delta	c_p	mu_e_inv	conv_stab	r_X	Z	R_min_r	eps_g	L_g	X_He3	X_C12	X_C13	X_N14	X_O16
1.000385665810643143e+00	1.989000000396646900e+33	5.346396990589262085e+11	3.236783962258030396e+11	2.738465207999999373e-01	6.962585556000000000e+10	8.660710646999999985e-11	4.876275547999999617e+03	9.951667456999999558e+03	3.074554117000000097e-08	7.433014435000000475e-01	3.845518711000000182e+33	5.506043281999999789e-02	0.000000000000000000e+00	1.651762074000000080e+00	3.934122808000000138e-01	1.004062436999999974e+00	1.694508983000000119e+08	8.917658629000000392e-01	2.282450808999999936e+03	0.000000000000000000e+00	1.714796429999999872e-02	-2.684196323999999836e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007433722999999628e-03	8.837546361000000669e-03
1.000376723155168346e+00	1.989000000393892571e+33	5.347345003114003906e+11	3.238039847111502686e+11	2.738465207999999373e-01	6.962523316000000000e+10	8.600568981000000162e-11	4.878268718000000263e+03	1.048988917000000038e+04	3.239580012999999970e-08	7.433014435000000475e-01	3.845518711000000182e+33	5.763276492000000278e-02	0.000000000000000000e+00	1.651414206000000107e+00	3.932460401000000272e-01	1.004177730999999962e+00	1.695383901999999881e+08	8.917658629000000392e-01	2.276430723999999827e+03	0.000000000000000000e+00	1.714796429999999872e-02	-2.621956207999999821e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007433722999999628e-03	8.837546361000000669e-03
1.000367719866650518e+00	1.989000000390970203e+33	5.348492336647199097e+11	3.239439035006547241e+11	2.738465207999999373e-01	6.962460654000000000e+10	8.536760350999999431e-11	4.880479677000000265e+03	1.106093008999999984e+04	3.414458482000000201e-08	7.433014435000000475e-01	3.845518711000000182e+33	6.034252172000000025e-02	0.000000000000000000e+00	1.651055098999999915e+00	3.930736599999999914e-01	1.004300331000000046e+00	1.696297940999999940e+08	8.917658629000000392e-01	2.269820318999999927e+03	0.000000000000000000e+00	1.714796429999999872e-02	-2.559293967000000179e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007433722999999628e-03	8.837546361000000669e-03
1.000358660399175648e+00	1.989000000387870573e+33	5.349823554326142578e+11	3.240997414365809326e+11	2.738465207999999373e-01	6.962397601000000000e+10	8.469079560000000086e-11	4.882931876999999986e+03	1.166662666999999965e+04	3.599702554000000053e-08	7.433014435000000475e-01	3.845518711000000182e+33	6.319599871999999341e-02	0.000000000000000000e+00	1.650671959999999938e+00	3.928902116999999916e-01	1.004431225999999899e+00	1.697274134000000060e+08	8.917658629000000392e-01	2.262534486999999899e+03	0.000000000000000000e+00	1.714796429999999872e-02	-2.496241180999999866e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007433722999999628e-03	8.837546361000000669e-03
1.000349548919469145e+00	1.989000000384583306e+33	5.351362690630344849e+11	3.242732190278695679e+11	2.738465207999999373e-01	6.962334186000000000e+10	8.397309250999999991e-11	4.885651216999999633e+03	1.230892418999999973e+04	3.795849754999999713e-08	7.433014435000000475e-01	3.845518711000000182e+33	6.619986876000000242e-02	0.000000000000000000e+00	1.650263535999999975e+00	3.926952441000000071e-01	1.004570428999999931e+00	1.698314639000000060e+08	8.917658629000000392e-01	2.254507318999999825e+03	0.000000000000000000e+00	1.714796429999999872e-02	-2.432826283999999985e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007433722999999628e-03	8.837546361000000669e-03
1.000340389163216548e+00	1.989000000381098889e+33	5.353136145440913086e+11	3.244662367751868286e+11	2.738465207999999373e-01	6.962270435000000000e+10	8.321219329000000573e-11	4.888666282999999567e+03	1.298988196000000062e+04	4.003461835999999894e-08	7.433014435000000475e-01	3.845518711000000182e+33	6.936137122999999627e-02	0.000000000000000000e+00	1.649828406999999997e+00	3.924882686000000231e-01	1.004717896999999915e+00	1.699421693000000119e+08	8.917658629000000392e-01	2.245666768000000047e+03	0.000000000000000000e+00	1.714796429999999872e-02	-2.369074817000000179e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007433722999999628e-03	8.837546361000000669e-03
1.000331184291382014e+00	1.989000000377404928e+33	5.355175057235189209e+11	3.246808920712834473e+11	2.738465207999999373e-01	6.962206370000000000e+10	8.240566475999999604e-11	4.892008598000000347e+03	1.371167766999999913e+04	4.223124305999999983e-08	7.433014435000000475e-01	3.845518711000000182e+33	7.268835436999999955e-02	0.000000000000000000e+00	1.649365635000000108e+00	3.922690052999999732e-01	1.004873482000000040e+00	1.700596490000000000e+08	8.917658629000000392e-01	2.235935602999999901e+03	0.000000000000000000e+00	1.714796429999999872e-02	-2.305009728000000119e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007433722999999628e-03	8.837546361000000669e-03
1.000321937321249521e+00	1.989000000373490472e+33	5.357603839837083130e+11	3.249194878812528076e+11	2.738465207999999373e-01	6.962142012000000000e+10	8.155093579999999622e-11	4.895712902999999642e+03	1.447661242999999922e+04	4.455446031999999896e-08	7.433014435000000475e-01	3.845518711000000182e+33	7.618919491999999460e-02	0.000000000000000000e+00	1.648901970999999911e+00	3.920477182000000060e-01	1.005034701999999891e+00	1.701790561999999881e+08	8.917658629000000392e-01	2.225287260000000060e+03	0.000000000000000000e+00	1.714796429999999872e-02	-2.240651601999999955e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007433722999999628e-03	8.837546361000000669e-03
1.000312650839062956e+00	1.989000000369342548e+33	5.360408837297568970e+11	3.251845768430483398e+11	2.738465207999999373e-01	6.962077379000000000e+10	8.064529102000000234e-11	4.899817450999999892e+03	1.528711654000000090e+04	4.701058299999999931e-08	7.433014435000000475e-01	3.845518711000000182e+33	7.987283561999999892e-02	0.000000000000000000e+00	1.648420379999999907e+00	3.918180533999999771e-01	1.005202560999999939e+00	1.703033310000000000e+08	8.917658629000000392e-01	2.213598089000000073e+03	0.000000000000000000e+00	1.714796429999999872e-02	-2.176018803999999911e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007433722999999628e-03	8.837546361000000669e-03
1.000303327287385580e+00	1.989000000364948764e+33	5.363637107286034546e+11	3.254789634597385254e+11	2.738465207999999373e-01	6.962012488000000000e+10	7.968586423999999418e-11	4.904364324000000124e+03	1.614575524000000041e+04	4.960614065000000030e-08	7.433014435000000475e-01	3.845518711000000182e+33	8.374883784000000664e-02	0.000000000000000000e+00	1.647921281999999987e+00	3.915803293999999823e-01	1.005376550000000035e+00	1.704322716999999881e+08	8.917658629000000392e-01	2.200773494999999912e+03	0.000000000000000000e+00	1.714796429999999872e-02	-2.111127614999999851e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007433722999999628e-03	8.837546361000000669e-03
