x	m	c2	u	Y	r	q	T	P	rho	X	L_r	kappa	eps	Gamma1	nabla_ad	delta	c_p	mu_e_inv	conv_stab	r_X	Z	R_min_r	eps_g	L_g	X_He3	X_C12	X_C13	X_N14	X_O16
1.000385717445345657e+00	1.989000000396583778e+33	5.347286940431083374e+11	3.237314659881316528e+11	2.737518047999999427e-01	6.962587543000000000e+10	8.659333618999999556e-11	4.876636418000000049e+03	9.950783229999999094e+03	3.073776964999999724e-08	7.433983962000000334e-01	3.846658989999999976e+33	5.506529973999999689e-02	0.000000000000000000e+00	1.651766201999999906e+00	3.934144976000000238e-01	1.004060218000000004e+00	1.694647770999999940e+08	8.918170053999999736e-01	2.282084053000000040e+03	0.000000000000000000e+00	1.715020100000000033e-02	-2.684555169999999925e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007956432999999589e-03	8.838699089000000286e-03
1.000376773211479886e+00	1.989000000393829736e+33	5.348236602902847290e+11	3.238570771968049927e+11	2.737518047999999427e-01	6.962525292000000000e+10	8.599197280000000643e-11	4.878629735000000437e+03	1.048895678000000044e+04	3.238761021000000155e-08	7.433983962000000334e-01	3.846658989999999976e+33	5.763793268999999747e-02	0.000000000000000000e+00	1.651418783000000001e+00	3.932484690999999977e-01	1.004175355000000103e+00	1.695521588000000119e+08	8.918170053999999736e-01	2.276065797000000202e+03	0.000000000000000000e+00	1.715020100000000033e-02	-2.622304858999999985e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007956432999999589e-03	8.838699089000000286e-03
1.000367768488265030e+00	1.989000000390907945e+33	5.349386029891530762e+11	3.239970207126978149e+11	2.737518047999999427e-01	6.962462620000000000e+10	8.535394386000000121e-11	4.880840857999999571e+03	1.105994584000000032e+04	3.413594919999999910e-08	7.433983962000000334e-01	3.846658989999999976e+33	6.034801416999999862e-02	0.000000000000000000e+00	1.651060253000000033e+00	3.930763520000000177e-01	1.004297787000000053e+00	1.696434288000000119e+08	8.918170053999999736e-01	2.269457578999999896e+03	0.000000000000000000e+00	1.715020100000000033e-02	-2.559632430999999866e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007956432999999589e-03	8.838699089000000286e-03
1.000358707586106233e+00	1.989000000387808316e+33	5.350719494162371826e+11	3.241528869995158691e+11	2.737518047999999427e-01	6.962399557000000000e+10	8.467719772000000562e-11	4.883293238999999630e+03	1.166558657999999923e+04	3.598791511000000029e-08	7.433983962000000334e-01	3.846658989999999976e+33	6.320184055999999995e-02	0.000000000000000000e+00	1.650677723000000041e+00	3.928931779000000013e-01	1.004428512999999912e+00	1.697409101999999881e+08	8.918170053999999736e-01	2.262174093000000084e+03	0.000000000000000000e+00	1.715020100000000033e-02	-2.496569473000000045e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007956432999999589e-03	8.838699089000000286e-03
1.000349594671728237e+00	1.989000000384521625e+33	5.352260964650445557e+11	3.243263965358131104e+11	2.737518047999999427e-01	6.962336132000000000e+10	8.395956116999999978e-11	4.886012781000000359e+03	1.230782396999999946e+04	3.794888144000000245e-08	7.433983962000000334e-01	3.846658989999999976e+33	6.620608527000000632e-02	0.000000000000000000e+00	1.650269919999999946e+00	3.926984899000000029e-01	1.004567543000000063e+00	1.698448200000000000e+08	8.918170053999999736e-01	2.254149402999999893e+03	0.000000000000000000e+00	1.715020100000000033e-02	-2.433144425000000000e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007956432999999589e-03	8.838699089000000286e-03
1.000340433337135071e+00	1.989000000381036919e+33	5.354036821202280884e+11	3.245194492161579590e+11	2.737518047999999427e-01	6.962272370000000000e+10	8.319873363000000562e-11	4.889028070000000298e+03	1.298871697999999924e+04	4.002446390000000222e-08	7.433983962000000334e-01	3.846658989999999976e+33	6.936798634000000685e-02	0.000000000000000000e+00	1.649835420999999913e+00	3.924917984999999887e-01	1.004714834000000057e+00	1.699553824000000060e+08	8.918170053999999736e-01	2.245311467999999877e+03	0.000000000000000000e+00	1.715020100000000033e-02	-2.369382826999999955e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007956432999999589e-03	8.838699089000000286e-03
1.000331227030650583e+00	1.989000000377343535e+33	5.356077853993071289e+11	3.247341431691702271e+11	2.737518047999999427e-01	6.962208295000000000e+10	8.239228222999999748e-11	4.892370632000000114e+03	1.371044298999999955e+04	4.222051569999999750e-08	7.433983962000000334e-01	3.846658989999999976e+33	7.269539228999999381e-02	0.000000000000000000e+00	1.649373176999999968e+00	3.922727802000000041e-01	1.004870248000000021e+00	1.700727375000000000e+08	8.918170053999999736e-01	2.235582835000000159e+03	0.000000000000000000e+00	1.715020100000000033e-02	-2.305307630000000075e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007956432999999589e-03	8.838699089000000286e-03
1.000321978625878128e+00	1.989000000373429655e+33	5.358509099491607056e+11	3.249727818089136353e+11	2.737518047999999427e-01	6.962143927000000000e+10	8.153763623999999483e-11	4.896075211000000309e+03	1.447530278999999973e+04	4.454312361000000174e-08	7.433983962000000334e-01	3.846658989999999976e+33	7.619668034000000312e-02	0.000000000000000000e+00	1.648910123999999922e+00	3.920517719000000123e-01	1.005031286999999995e+00	1.701920034000000060e+08	8.918170053999999736e-01	2.224937339000000065e+03	0.000000000000000000e+00	1.715020100000000033e-02	-2.240939417000000179e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007956432999999589e-03	8.838699089000000286e-03
1.000312690709060925e+00	1.989000000369282020e+33	5.361316644335522461e+11	3.252379178283472290e+11	2.737518047999999427e-01	6.962079284000000000e+10	8.063208064999999459e-11	4.900180062999999791e+03	1.528572632999999951e+04	4.699859854000000158e-08	7.433983962000000334e-01	3.846658989999999976e+33	7.988079347000000274e-02	0.000000000000000000e+00	1.648429149999999899e+00	3.918223875999999883e-01	1.005198963000000001e+00	1.703161360000000000e+08	8.918170053999999736e-01	2.213251181000000088e+03	0.000000000000000000e+00	1.715020100000000033e-02	-2.176296548999999836e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007956432999999589e-03	8.838699089000000286e-03
1.000303365722761351e+00	1.989000000364888524e+33	5.364547534335271606e+11	3.255323565342249756e+11	2.737518047999999427e-01	6.962014383000000000e+10	7.967274966000000328e-11	4.904727273000000423e+03	1.614427851000000010e+04	4.959346801000000124e-08	7.433983962000000334e-01	3.846658989999999976e+33	8.375729312999999343e-02	0.000000000000000000e+00	1.647930667000000016e+00	3.915849443000000152e-01	1.005372766999999889e+00	1.704449340000000000e+08	8.918170053999999736e-01	2.200429774000000180e+03	0.000000000000000000e+00	1.715020100000000033e-02	-2.111395305000000075e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.007956432999999589e-03	8.838699089000000286e-03
