x	m	c2	u	Y	r	q	T	P	rho	X	L_r	kappa	eps	Gamma1	nabla_ad	delta	c_p	mu_e_inv	conv_stab	r_X	Z	R_min_r	eps_g	L_g	X_He3	X_C12	X_C13	X_N14	X_O16
1.000385902123962278e+00	1.989000000396413433e+33	5.349921023697904053e+11	3.238909882677938232e+11	2.732563611000000670e-01	6.962585341000000000e+10	8.655610700000000435e-11	4.876752722999999605e+03	9.946815920999999435e+03	3.071038183000000214e-08	7.439055396999999514e-01	3.847022112000000178e+33	5.508731783999999687e-02	0.000000000000000000e+00	1.651765938999999905e+00	3.934145331000000190e-01	1.004059916999999968e+00	1.695439916999999881e+08	8.920845232999999874e-01	2.280960332000000108e+03	0.000000000000000000e+00	1.716190080000000104e-02	-2.685840285000000149e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.010690645999999936e-03	8.844728814999999397e-03
1.000376953575209393e+00	1.989000000393660257e+33	5.350870723942415161e+11	3.240166616349162598e+11	2.732563611000000670e-01	6.962523060000000000e+10	8.595498450999999596e-11	4.878746087999999872e+03	1.048477495000000090e+04	3.235875246999999979e-08	7.439055396999999514e-01	3.847022112000000178e+33	5.766096859000000019e-02	0.000000000000000000e+00	1.651418386000000016e+00	3.932484661000000270e-01	1.004175019000000058e+00	1.696314254000000060e+08	8.920845232999999874e-01	2.274944748999999774e+03	0.000000000000000000e+00	1.716190080000000104e-02	-2.623559355000000075e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.010690645999999936e-03	8.844728814999999397e-03
1.000367944393397046e+00	1.989000000390739619e+33	5.352021409344265137e+11	3.241566740418030396e+11	2.732563611000000670e-01	6.962460357000000000e+10	8.531721106999999929e-11	4.880957263000000239e+03	1.105553650999999991e+04	3.410553413000000102e-08	7.439055396999999514e-01	3.847022112000000178e+33	6.037212595000000098e-02	0.000000000000000000e+00	1.651060069999999991e+00	3.930764446000000190e-01	1.004297388999999985e+00	1.697226865000000000e+08	8.920845232999999874e-01	2.268340228999999908e+03	0.000000000000000000e+00	1.716190080000000104e-02	-2.560856092999999970e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.010690645999999936e-03	8.844728814999999397e-03
1.000358879032612558e+00	1.989000000387641430e+33	5.353356331512288818e+11	3.243126171366046753e+11	2.732563611000000670e-01	6.962397263000000000e+10	8.464073587000000048e-11	4.883409703000000263e+03	1.166093598999999995e+04	3.595585054000000082e-08	7.439055396999999514e-01	3.847022112000000178e+33	6.322708869000000231e-02	0.000000000000000000e+00	1.650677787000000007e+00	3.928933780000000153e-01	1.004428051999999960e+00	1.698201565999999940e+08	8.920845232999999874e-01	2.261060839000000215e+03	0.000000000000000000e+00	1.716190080000000104e-02	-2.497762103999999911e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.010690645999999936e-03	8.844728814999999397e-03
1.000349761659582892e+00	1.989000000384355892e+33	5.354899460443416748e+11	3.244862117741145630e+11	2.732563611000000670e-01	6.962333807000000000e+10	8.392338660000000280e-11	4.886129310000000260e+03	1.230291755999999987e+04	3.791507038999999683e-08	7.439055396999999514e-01	3.847022112000000178e+33	6.623253210000000502e-02	0.000000000000000000e+00	1.650270262999999904e+00	3.926988096999999844e-01	1.004567017000000062e+00	1.699240523000000119e+08	8.920845232999999874e-01	2.253040672000000086e+03	0.000000000000000000e+00	1.716190080000000104e-02	-2.434305844000000134e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.010690645999999936e-03	8.844728814999999397e-03
1.000340595866313853e+00	1.989000000380872628e+33	5.356677216766960449e+11	3.246793596618249512e+11	2.732563611000000670e-01	6.962270014000000000e+10	8.316286359999999897e-11	4.889144671000000017e+03	1.298353938999999991e+04	3.998880435000000127e-08	7.439055396999999514e-01	3.847022112000000178e+33	6.939569260000000295e-02	0.000000000000000000e+00	1.649836078999999955e+00	3.924922516000000083e-01	1.004714238999999898e+00	1.700345970999999940e+08	8.920845232999999874e-01	2.244207738000000063e+03	0.000000000000000000e+00	1.716190080000000104e-02	-2.370512867999999970e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.010690645999999936e-03	8.844728814999999397e-03
1.000331384957450664e+00	1.989000000377180973e+33	5.358719145904017944e+11	3.248941595837170410e+11	2.732563611000000670e-01	6.962205907000000000e+10	8.235673495000000427e-11	4.892487312000000202e+03	1.370497801000000072e+04	4.218290051000000247e-08	7.439055396999999514e-01	3.847022112000000178e+33	7.272442098999999660e-02	0.000000000000000000e+00	1.649373800000000001e+00	3.922732340000000262e-01	1.004869612000000023e+00	1.701519998000000119e+08	8.920845232999999874e-01	2.234483828999999787e+03	0.000000000000000000e+00	1.716190080000000104e-02	-2.306406135999999940e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.010690645999999936e-03	8.844728814999999397e-03
1.000322131950278637e+00	1.989000000373268534e+33	5.361152256470532227e+11	3.251329161511439819e+11	2.732563611000000670e-01	6.962141507000000000e+10	8.150243089999999416e-11	4.896191979999999603e+03	1.446953333000000021e+04	4.450344032000000093e-08	7.439055396999999514e-01	3.847022112000000178e+33	7.622709755999999837e-02	0.000000000000000000e+00	1.648910950000000097e+00	3.920523168999999752e-01	1.005030590000000057e+00	1.702712718000000119e+08	8.920845232999999874e-01	2.223844001999999819e+03	0.000000000000000000e+00	1.716190080000000104e-02	-2.242006237000000104e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.010690645999999936e-03	8.844728814999999397e-03
1.000312839431041656e+00	1.989000000369122629e+33	5.363961918538807373e+11	3.253981831801424561e+11	2.732563611000000670e-01	6.962076832000000000e+10	8.059723749000000331e-11	4.900296929000000091e+03	1.527963436000000002e+04	4.695672917000000006e-08	7.439055396999999514e-01	3.847022112000000178e+33	7.991266855999999696e-02	0.000000000000000000e+00	1.648430199000000096e+00	3.918230316999999907e-01	1.005198202999999957e+00	1.703954090000000000e+08	8.920845232999999874e-01	2.212164072999999917e+03	0.000000000000000000e+00	1.716190080000000104e-02	-2.177331542000000179e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.010690645999999936e-03	8.844728814999999397e-03
1.000303509842303873e+00	1.989000000364730862e+33	5.367195214812316895e+11	3.256927673786685791e+11	2.732563611000000670e-01	6.962011899000000000e+10	7.963829002000000333e-11	4.904844248000000334e+03	1.613784503000000041e+04	4.954928891999999997e-08	7.439055396999999514e-01	3.847022112000000178e+33	8.379069888000000021e-02	0.000000000000000000e+00	1.647931963000000000e+00	3.915856965999999773e-01	1.005371942000000018e+00	1.705242095000000000e+08	8.920845232999999874e-01	2.199349509000000126e+03	0.000000000000000000e+00	1.716190080000000104e-02	-2.112398332999999821e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.010690645999999936e-03	8.844728814999999397e-03
