l n nu E
 0 1 258.0222 4.83737E-04 
 0 2 404.4866 1.00533E-04 
 0 3 535.9434 2.49013E-05 
 0 4 680.5713 7.50419E-06 
 0 5 825.3620 2.59559E-06
 0 6 972.7401 9.91884E-07
 0 7 1118.1431 4.18960E-07
 0 8 1263.5178 1.79705E-07
 0 9 1407.6182 7.92675E-08
 0 10 1548.5133 3.51983E-08
 0 11 1686.8078 1.67349E-08
 0 12 1822.2084 9.10055E-09
 0 13 1957.4444 5.52273E-09
 0 14 2093.4989 3.58715E-09
 0 15 2228.8224 2.39575E-09
 0 16 2363.4514 1.67202E-09
 0 17 2497.3306 1.27150E-09
 0 18 2631.3897 1.04009E-09
 0 19 2766.6472 8.92630E-10
 0 20 2902.2186 7.84747E-10
 0 21 3038.0204 7.00587E-10
 0 22 3174.0500 6.44665E-10
 0 23 3310.1234 6.09196E-10
 0 24 3446.8381 5.87983E-10
 0 25 3583.8638 5.77255E-10
 0 26 3721.1147 5.70828E-10
 0 27 3858.7401 5.71489E-10
 0 28 3996.4072 5.77177E-10
 0 29 4134.3107 5.86201E-10
 0 30 4272.2876 6.02703E-10
 0 31 4410.2722 6.24216E-10
 0 32 4548.4232 6.52236E-10
 0 33 4686.3145 6.89649E-10
 0 34 4824.0428 7.41586E-10
 0 35 4961.4634 8.20933E-10
 1 1 285.1103 3.80962E-04
 1 2 448.4745 5.18539E-05
 1 3 596.9395 1.41743E-05
 1 4 746.6632 4.42439E-06
 1 5 893.7120 1.65832E-06
 1 6 1039.5563 6.59255E-07
 1 7 1185.6097 2.83074E-07
 1 8 1329.6900 1.23840E-07
 1 9 1472.9651 5.40063E-08
 1 10 1612.7177 2.47396E-08
 1 11 1749.3783 1.23743E-08
 1 12 1885.0892 7.11318E-09
 1 13 2020.6551 4.50342E-09
 1 14 2156.8371 2.94504E-09
 1 15 2292.2570 2.00629E-09
 1 16 2426.3633 1.45268E-09
 1 17 2560.6305 1.14304E-09
 1 18 2695.3905 9.64464E-10
 1 19 2830.9452 8.35760E-10
 1 20 2967.0207 7.40185E-10
 1 21 3102.9203 6.70977E-10
 1 22 3239.1594 6.23699E-10
 1 23 3375.7202 5.97690E-10
 1 24 3512.5888 5.81429E-10
 1 25 3649.9765 5.72573E-10
 1 26 3787.4287 5.70705E-10
 1 27 3925.1609 5.72747E-10
 1 28 4063.1227 5.80833E-10
 1 29 4201.0253 5.93222E-10
 1 30 4339.1646 6.11566E-10
 1 31 4477.2926 6.37269E-10
 1 32 4615.3662 6.68168E-10
 1 33 4753.3232 7.12202E-10
 1 34 4890.9056 7.76039E-10
 2 0 355.7577 4.32465E-04
 2 1 384.1691 2.22172E-04
 2 2 514.4779 2.79597E-05
 2 3 664.4019 8.30900E-06
 2 4 811.7621 2.80944E-06
 2 5 959.8668 1.07581E-06
 2 6 1105.1607 4.51303E-07
 2 7 1250.7278 1.93520E-07
 2 8 1394.6974 8.55019E-08
 2 9 1535.9773 3.77177E-08
 2 10 1674.6587 1.77957E-08
 2 11 1810.2658 9.53705E-09
 2 12 1945.8054 5.73036E-09
 2 13 2082.0481 3.71090E-09
 2 14 2217.7526 2.46558E-09
 2 15 2352.8520 1.71150E-09
 2 16 2487.0155 1.29204E-09
 2 17 2621.3953 1.05026E-09
 2 18 2756.9317 8.99788E-10
 2 19 2892.7843 7.89396E-10
 2 20 3028.9498 7.03499E-10
 2 21 3165.2593 6.46342E-10
 2 22 3301.6205 6.09365E-10
 2 23 3438.6190 5.87769E-10
 2 24 3575.8796 5.76632E-10
 2 25 3713.4045 5.69813E-10
 2 26 3851.2610 5.70424E-10
 2 27 3989.1502 5.75738E-10
 2 28 4127.2918 5.84655E-10
 2 29 4265.4607 6.00916E-10
 2 30 4403.6533 6.22051E-10
 2 31 4541.9986 6.49974E-10
 2 32 4680.0731 6.86764E-10
 2 33 4817.9966 7.37904E-10
 2 34 4955.5916 8.15917E-10
 3 0 396.9745 5.84532E-04
 3 1 416.3564 8.70886E-05
 3 2 564.7103 1.75936E-05
 3 3 718.5139 5.36952E-06
 3 4 866.9443 1.94539E-06
 3 5 1015.0089 7.57038E-07
 3 6 1161.6777 3.23957E-07
 3 7 1306.7875 1.40147E-07
 3 8 1451.0516 6.12111E-08
 3 9 1591.5371 2.76722E-08
 3 10 1729.2066 1.35398E-08
 3 11 1865.2388 7.64826E-09
 3 12 2001.0810 4.77456E-09
 3 13 2137.8207 3.11032E-09
 3 14 2273.6842 2.10420E-09
 3 15 2408.4061 1.50289E-09
 3 16 2543.1020 1.17090E-09
 3 17 2678.1224 9.80062E-10
 3 18 2814.1494 8.46334E-10
 3 19 2950.6293 7.48294E-10
 3 20 3086.9702 6.75218E-10
 3 21 3223.6860 6.25884E-10
 3 22 3360.5929 5.98167E-10
 3 23 3497.8959 5.80624E-10
 3 24 3635.6907 5.71619E-10
 3 25 3773.5209 5.68841E-10
 3 26 3911.6834 5.70530E-10
 3 27 4050.0033 5.78427E-10
 3 28 4188.2944 5.90018E-10
 3 29 4326.8075 6.08148E-10
 3 30 4465.2629 6.33239E-10
 3 31 4603.7125 6.63466E-10
 3 32 4741.9969 7.06494E-10
 3 33 4879.9125 7.68119E-10
