x	m	c2	u	Y	r	q	T	P	rho	X	L_r	kappa	eps	Gamma1	nabla_ad	delta	c_p	mu_e_inv	conv_stab	r_X	Z	R_min_r	eps_g	L_g	X_He3	X_C12	X_C13	X_N14	X_O16
1.000385537540011471e+00	1.989000000396764498e+33	5.344575439156118164e+11	3.235680611096985474e+11	2.741911183999999890e-01	6.962584017000000000e+10	8.663272313999999935e-11	4.876203738999999587e+03	9.954429728999999497e+03	3.076456216000000125e-08	7.429487083000000380e-01	3.845291480000000001e+33	5.504516422999999881e-02	0.000000000000000000e+00	1.651762358999999902e+00	3.934123112999999838e-01	1.004062589999999977e+00	1.693957670999999940e+08	8.915797952999999776e-01	2.283230145999999877e+03	0.000000000000000000e+00	1.713982669999999930e-02	-2.683303144999999925e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.005531986999999634e-03	8.833352485999999837e-03
1.000376597900991316e+00	1.989000000394009016e+33	5.345523472870711060e+11	3.236936064455072021e+11	2.741911183999999890e-01	6.962521798000000000e+10	8.603113982000000379e-11	4.878196879000000081e+03	1.049280078999999932e+04	3.241584196000000047e-08	7.429487083000000380e-01	3.845291480000000001e+33	5.761679243000000089e-02	0.000000000000000000e+00	1.651414598999999983e+00	3.932461039999999852e-01	1.004177902999999983e+00	1.694832194000000060e+08	8.915797952999999776e-01	2.277208235999999943e+03	0.000000000000000000e+00	1.713982669999999930e-02	-2.621084262000000104e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.005531986999999634e-03	8.833352485999999837e-03
1.000367597628922134e+00	1.989000000391085783e+33	5.346669988516049805e+11	3.238334779393901978e+11	2.741911183999999890e-01	6.962459157000000000e+10	8.539287679000000205e-11	4.880407804999999826e+03	1.106400008999999955e+04	3.416570812999999879e-08	7.429487083000000380e-01	3.845291480000000001e+33	6.032580534999999744e-02	0.000000000000000000e+00	1.651055358000000028e+00	3.930736639999999893e-01	1.004300543999999906e+00	1.695746258000000119e+08	8.915797952999999776e-01	2.270595294000000195e+03	0.000000000000000000e+00	1.713982669999999930e-02	-2.558443405999999866e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.005531986999999634e-03	8.833352485999999837e-03
1.000358541321570982e+00	1.989000000387985289e+33	5.348000238419501953e+11	3.239892626025068359e+11	2.741911183999999890e-01	6.962396126000000000e+10	8.471588149000000351e-11	4.882859969000000092e+03	1.166986458999999923e+04	3.601929426999999815e-08	7.429487083000000380e-01	3.845291480000000001e+33	6.317849685000000159e-02	0.000000000000000000e+00	1.650672061000000079e+00	3.928901475000000088e-01	1.004431478000000100e+00	1.696722494000000060e+08	8.915797952999999776e-01	2.263306648000000223e+03	0.000000000000000000e+00	1.713982669999999930e-02	-2.495412144000000134e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.005531986999999634e-03	8.833352485999999837e-03
1.000349432858303356e+00	1.989000000384697445e+33	5.349538276575808105e+11	3.241626814580904541e+11	2.741911183999999890e-01	6.962332732000000000e+10	8.399797973000000645e-11	4.885579270000000179e+03	1.231234014999999999e+04	3.798197896999999767e-08	7.429487083000000380e-01	3.845291480000000001e+33	6.618153853000000031e-02	0.000000000000000000e+00	1.650263457999999961e+00	3.926951033000000146e-01	1.004570723000000054e+00	1.697763060000000000e+08	8.915797952999999776e-01	2.255276367999999820e+03	0.000000000000000000e+00	1.713982669999999930e-02	-2.432018898000000045e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.005531986999999634e-03	8.833352485999999837e-03
1.000340276262165151e+00	1.989000000381211875e+33	5.351310468487576294e+11	3.243556336201734009e+11	2.741911183999999890e-01	6.962269003000000000e+10	8.323686994000000607e-11	4.888594291000000339e+03	1.299348662999999942e+04	4.005938322999999915e-08	7.429487083000000380e-01	3.845291480000000001e+33	6.934217087999999807e-02	0.000000000000000000e+00	1.649828124999999979e+00	3.924880417000000121e-01	1.004718234000000043e+00	1.698870200000000000e+08	8.915797952999999776e-01	2.246432373999999982e+03	0.000000000000000000e+00	1.713982669999999930e-02	-2.368289198000000045e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.005531986999999634e-03	8.833352485999999837e-03
1.000331074550440791e+00	1.989000000377517050e+33	5.353348812308262329e+11	3.245702156131186523e+11	2.741911183999999890e-01	6.962204960000000000e+10	8.243011828000000102e-11	4.891936556999999993e+03	1.371548228999999992e+04	4.225736568000000189e-08	7.429487083000000380e-01	3.845291480000000001e+33	7.266824047000000619e-02	0.000000000000000000e+00	1.649365393000000068e+00	3.922687850000000087e-01	1.004873842999999933e+00	1.700044626999999881e+08	8.915797952999999776e-01	2.236697962000000189e+03	0.000000000000000000e+00	1.713982669999999930e-02	-2.304245989000000060e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.005531986999999634e-03	8.833352485999999837e-03
1.000321830596734518e+00	1.989000000373601440e+33	5.355776356737973022e+11	3.248087302627275391e+11	2.741911183999999890e-01	6.962140623000000000e+10	8.157515294999999950e-11	4.895640806999999768e+03	1.448062888000000021e+04	4.458201868000000309e-08	7.429487083000000380e-01	3.845291480000000001e+33	7.616812193999999980e-02	0.000000000000000000e+00	1.648901602000000022e+00	3.920474413000000213e-01	1.005035101000000042e+00	1.701238618000000119e+08	8.915797952999999776e-01	2.226045712999999978e+03	0.000000000000000000e+00	1.713982669999999930e-02	-2.239909848000000045e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.005531986999999634e-03	8.833352485999999837e-03
1.000312547418330977e+00	1.989000000369452652e+33	5.358579936260235596e+11	3.250737285161151733e+11	2.741911183999999890e-01	6.962076013000000000e+10	8.066925785000000070e-11	4.899745294999999714e+03	1.529135730999999942e+04	4.703965890999999998e-08	7.429487083000000380e-01	3.845291480000000001e+33	7.985075574000000120e-02	0.000000000000000000e+00	1.648419870999999981e+00	3.918177144000000167e-01	1.005203000000000069e+00	1.702481295999999940e+08	8.915797952999999776e-01	2.214352246999999807e+03	0.000000000000000000e+00	1.713982669999999930e-02	-2.175299137000000104e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.005531986999999634e-03	8.833352485999999837e-03
1.000303227026752673e+00	1.989000000365057427e+33	5.361806587493463135e+11	3.253680146172249146e+11	2.741911183999999890e-01	6.962011144000000000e+10	7.970956603000000239e-11	4.904292101000000002e+03	1.615023351999999977e+04	4.963681983000000300e-08	7.429487083000000380e-01	3.845291480000000001e+33	8.372570082999999941e-02	0.000000000000000000e+00	1.647920615000000089e+00	3.915799218000000081e-01	1.005377028000000061e+00	1.703770648000000119e+08	8.915797952999999776e-01	2.201522931999999855e+03	0.000000000000000000e+00	1.713982669999999930e-02	-2.110430128999999911e+07	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	4.005531986999999634e-03	8.833352485999999837e-03
